year,state,state_po,incumbent_party,incumbent_candidate,challenger,Rerunning,incumbent2pv,PopV_Inc,PopV_Dem,democrat2pv,Cooks_PVI,d_unemployment,gallup_approv_jun,incumb,dem,College
1956,Virginia,VA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.590618337,0.577464789,0.4225352,0.409381663,0.001863933,,73,1,0,
1956,Washington,WA,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.542799597,0.577464789,0.4225352,0.457200403,0.016535345,,73,1,0,
1956,West Virginia,WV,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.541,0.577464789,0.4225352,0.459,0.062246848,,73,1,0,
1956,Wisconsin,WI,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.61971831,0.577464789,0.4225352,0.38028169,-0.029770397,,73,1,0,
1956,Wyoming,WY,Republican,"Eisenhower, Dwight D. ","Stevenson, Adlai",1,0.601,0.577464789,0.4225352,0.399,-0.038451541,,73,1,0,
1960,Alabama,AL,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.423350254,0.498991935,0.501008065,0.576649746,0.184042324,,61,0,1,
1960,Alaska,AK,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.509,0.498991935,0.501008065,0.491,0,,61,0,1,
1960,Arizona,AZ,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.555555556,0.498991935,0.501008065,0.444444444,-0.031637855,,61,0,1,
1960,Arkansas,AR,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.461950697,0.498991935,0.501008065,0.538049303,0.112548148,,61,0,1,
1960,California,CA,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.502507523,0.498991935,0.501008065,0.497492477,0.002990515,,61,0,1,
1960,Colorado,CO,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.548743719,0.498991935,0.501008065,0.451256281,-0.040572731,,61,0,1,
1960,Connecticut,CT,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.463,0.498991935,0.501008065,0.537,-0.032951024,,61,0,1,
1960,Delaware,DE,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.491967871,0.498991935,0.501008065,0.508032129,0.029059125,,61,0,1,
1960,District of Columbia,DC,,,,0,,,,,0,,61,0,1,
1960,Florida,FL,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.515,0.498991935,0.501008065,0.485,0.003881164,,61,0,1,
1960,Georgia,GA,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.374374374,0.498991935,0.501008065,0.625625626,0.246666447,,61,0,1,
1960,Hawaii,HI,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.5,0.498991935,0.501008065,0.5,-0.2112676,,61,0,1,
1960,Idaho,ID,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.538,0.498991935,0.501008065,0.462,-0.068487861,,61,0,1,
1960,Illinois,IL,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.498997996,0.498991935,0.501008065,0.501002004,-0.007753216,,61,0,1,
1960,Indiana,IN,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.552208835,0.498991935,0.501008065,0.447791165,-0.028673605,,61,0,1,
1960,Iowa,IA,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.567567568,0.498991935,0.501008065,0.432432432,-0.051850288,,61,0,1,
1960,Kansas,KS,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.607035176,0.498991935,0.501008065,0.392964824,-0.109570778,,61,0,1,
1960,Kentucky,KY,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.536,0.498991935,0.501008065,0.464,0.042553881,,61,0,1,
1960,Louisiana,LA,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.362025316,0.498991935,0.501008065,0.637974684,0.042490726,,61,0,1,
1960,Maine,ME,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.57,0.498991935,0.501008065,0.43,-0.119993873,,61,0,1,
1960,Maryland,MD,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.464,0.498991935,0.501008065,0.536,-0.014366721,,61,0,1,
1960,Massachusetts,MA,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.396793587,0.498991935,0.501008065,0.603206413,-0.004040173,,61,0,1,
1960,Michigan,MI,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.489468405,0.498991935,0.501008065,0.510531595,0.007658908,,61,0,1,
1960,Minnesota,MN,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.492985972,0.498991935,0.501008065,0.507014028,0.01796036,,61,0,1,
1960,Mississippi,MS,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.404918033,0.498991935,0.501008065,0.595081967,0.219041694,,61,0,1,
1960,Missouri,MO,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.497,0.498991935,0.501008065,0.503,0.061659434,,61,0,1,
1960,Montana,MT,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.512537613,0.498991935,0.501008065,0.487462387,-0.018825012,,61,0,1,
1960,Nebraska,NE,Republican,"Nixon, Richard","Kennedy, John F. ",0,0.621,0.498991935,0.501008065,0.379,-0.10833255,,61,0,1,
